"toothtpye","comparison","raw_pvalue","adjusted_pvalue"
"LM1","darti_arundinum",0.0101,0.01212
"LM1","darti_fulvorufula",0,0
"LM2","darti_arundinum",0.9303,0.9303
"LM2","darti_fulvorufula",0.0012,0.0016
"LM3","darti_arundinum",0.2515,0.274363636363636
"LM3","darti_fulvorufula",9e-04,0.00135
"UM1","darti_arundinum",0,0
"UM1","darti_fulvorufula",0,0
"UM2","darti_arundinum",0,0
"UM2","darti_fulvorufula",0,0
"UM3","darti_arundinum",2e-04,4e-04
"UM3","darti_fulvorufula",4e-04,0.000685714285714286
