0,27.602,17.86,11.695,26.957,14.767,27.282,19.556,9.7623,27.009,18.417,9.0222,23.45,17.253,41.313,15.611,15.315,9.355,18.24,18.5,14.318,17.978,19.94,17.597,9.6021,15.028,12.951,14.159,18.786,18.565,27.398,12.042,17.919,17.77,21.069,18.312,19.247,20.675,23.672,14.133,11.522,19.18,21.882,20.13,16.347,19.884,17.608,20.058,14.84,11.634,18.197,15.037,19.097,16.663,14.061,20.962,20.595,16.868,14.072,16.388,17.125,18.669,16.982,16.717,17.998,19.333,19.258,16.248,15.341,16.24,16.777,16.219,10.934,15.11,12.653,14.487,18.372,15.983,16.783,20.22,17.422,16.486,16.708,17.98,17.111,16.121,18.114,16.992
27.602,0,12.488,19.928,12.699,22.237,13.182,10.989,21.329,11.303,10.288,25.952,17.53,18.207,8.8957,18.849,18.087,25.91,13.084,10.572,18.8,18.101,11.418,16.385,26.8,18.025,27.152,19.728,12.971,9.0668,9.0337,20.059,13.407,13.552,12.409,19.245,13.269,17.646,16.977,19.108,19.944,11.816,11.755,17.54,19.105,11.361,19.454,14.901,19.766,21.347,11.057,18.902,12.195,12.459,18.949,15.483,15.066,13.455,21.503,14.632,15.253,12.932,19.959,25.834,11.826,12.543,11.504,17.411,20.497,14.055,14.307,13.426,24.954,16.648,26.722,24.212,12.228,24.574,23.098,15.078,14.449,13.482,13.324,23.173,12.378,19.251,14.096,20.056
17.86,12.488,0,16.803,8.5577,18.462,9.8801,10.803,18.807,9.2876,12.419,25.588,14.123,14.026,18.71,17.089,16.147,24.726,8.711,8.0291,15.961,19.208,14.91,12.677,26.267,15.499,26.99,16.633,7.8493,14.103,11.681,17.696,20.042,14.431,19.062,17.102,15.844,23.399,18.969,17.761,18.244,19.424,20.06,23.043,17.7,16.017,17.346,22.194,17.598,20.487,17.195,16.69,13.771,17.051,16.374,21.57,14.8,10.064,18.417,11.059,13.806,20.324,18.463,23.075,16.734,21.419,16.75,13.758,15.479,9.94,10.531,13.092,24.703,11.775,24.249,24.435,19.734,21.55,19.878,18.961,11.024,10.091,14.18,19.664,16.297,16.205,9.7724,16.553
11.695,19.928,16.803,0,16.941,11.291,14.182,18.121,11.042,17.352,20.108,11.892,15.612,13.753,19.346,12.808,8.7682,12.245,15.311,16.758,6.8213,13.779,20.504,15.096,13.735,8.173,17.576,9.1887,14.749,20.069,19.479,9.0365,18.265,13.984,17.427,12.347,18.321,20.34,22.812,9.0055,9.446,18.338,19.641,19.979,9.1568,20.058,11.078,19.149,9.4914,11.553,17.454,10.399,16.853,17.51,8.4058,17.463,16.088,12.58,9.9768,13.166,12.037,19.17,10.972,18.272,18.931,19.02,18.7,14.514,13.586,12.86,12.964,16.752,13.492,12.259,16.123,13.916,16.708,13.959,17.05,16.856,13.644,13.208,16.651,16.29,17.025,14.679,12.89,15.724
26.957,12.699,8.5577,16.941,0,19.343,9.3679,10.87,23.945,7.9888,12.426,25.964,15.816,15.884,15.468,17.371,16.263,25.939,7.8559,8.6651,17.158,17.225,14.954,13.662,27.909,16.439,28.636,23.94,10.64,12.833,10.169,18.549,20.235,15.265,20.806,17.27,15.343,22.056,20.105,17.844,17.922,20.311,23.042,24.426,16.195,17.607,16.701,23.548,17.765,21.161,17.245,17.746,12.319,16.37,17.281,22.772,15.416,11.148,23.347,14.632,15.236,20.753,18.722,25.03,16.328,19.837,18.439,16.21,18.297,12.057,12.843,16.399,25.659,15.814,26.596,25.03,18.768,25.865,21.057,18.852,13.937,11.797,16.786,20.725,16.309,17.775,14.809,18.182
14.767,22.237,18.462,11.291,19.343,0,17.503,22.661,14.157,19.805,22.321,13.776,15.498,12.332,25.218,18.302,14.616,13.101,19.309,20.443,13.614,19.8,24.022,15.822,14.33,12.387,16.023,15.387,20.683,24.276,23.65,12.71,25.684,21.306,26.556,17.605,25.139,25.056,25.343,15.246,15.181,24.157,24.555,24.49,13.603,26.452,16.234,24.757,13.915,12.781,22.056,15.7,21.893,23.346,13.419,23.791,21.988,16.916,12.98,17.894,17.848,22.338,14.58,15.905,23.043,21.781,22.37,12.71,11.361,15.881,17.715,20.387,14.895,11.822,13.969,17.968,22.991,16.875,15.616,22.408,19.341,18.085,20.691,15.143,22.496,11.97,19.28,13.69
27.282,13.182,9.8801,14.182,9.3679,17.503,0,12.056,23.39,9.4077,14.963,25.388,15.149,14.926,18.472,19.067,17.014,25.506,9.7215,8.7535,16.92,19.39,18.425,14.067,27.182,16.927,27.701,23.478,11.513,16.833,11.411,19.535,21.419,15.676,22.157,19.887,17.208,22.44,22.721,18.548,18.701,22.179,23.912,22.728,17.698,19.799,17.878,23.611,18.335,21.509,22.481,24.21,15.499,20.292,17.811,22.56,16.075,11.102,24.289,15.139,17.689,24.317,19.427,25.137,21.859,22.729,21.55,15.769,17.863,12.788,14.208,19.197,25.158,14.544,26.194,24.669,21.303,24.995,20.249,20.069,14.333,13.302,19.713,20.391,19.291,17.607,15.56,17.698
19.556,10.989,10.803,18.121,10.87,22.661,12.056,0,19.087,9.5458,8.6394,21.454,16.492,15.904,13.433,17.027,16.169,21.49,8.7584,7.8439,16.816,17.314,12.549,15.087,23.573,15.634,24.332,16.354,8.8554,12.582,7.1429,17.797,20.265,12.898,16.66,15.479,11.17,19.184,18.711,17.868,17.811,20.229,14.775,16.86,17.373,18.854,17.931,18.283,17.906,21.215,11.1,16.279,10.296,11.727,15.661,19.306,12.236,10.889,18.05,11.968,13.325,15.418,18.7,24.289,10.701,16.586,10.084,16.153,18.238,10.922,13.015,11.995,23.696,14.428,23.557,20.168,12.604,19.484,20.667,13.877,12.368,11.674,12.255,20.5,10.881,17.628,11.051,18.229
9.7623,21.329,18.807,11.042,23.945,14.157,23.39,19.087,0,15.007,16.358,9.8267,18.561,16.793,27.774,11.818,11.164,11.937,16.585,15.551,11.53,12.974,17.614,17.195,12.171,11.217,14.787,10.209,16.955,16.108,26.548,9.9136,14.956,14.07,18.999,15.576,18.565,20.371,19.989,11.235,9.0893,17.425,17.743,18.918,12.473,16.547,14.03,18.089,9.6931,10.907,16.767,11.382,16.255,15.876,11.192,18.836,18.108,14.638,11.714,14.023,14.099,16.357,13.259,18.606,16.023,16.958,16.723,15.966,17.2,13.441,13.747,14.392,8.4557,13.816,14.741,10.691,16.765,10.856,18.05,17.277,17.401,14.246,14.135,18.801,15.705,17.469,16.859,17.946
27.009,11.303,9.2876,17.352,7.9888,19.805,9.4077,9.5458,15.007,0,13.578,25.43,14.933,14.966,14.016,17.29,14.999,24.409,9.8588,9.0243,16.65,17.182,15.989,14.691,26.421,15.526,26.416,17.194,10.963,15.944,9.8302,18.473,18.098,14.356,18.866,17.734,14.614,17.827,21.038,16.538,17.945,19.399,22.026,23.439,16.55,16.086,16.187,20.794,17.909,20.995,21.121,17.803,14.6,17.482,16.783,20.077,15.207,11.746,19.33,15.315,15.805,23.02,18.55,23.944,20.886,19.21,18.792,14.821,17.066,11.562,13.504,16.063,24.476,14.498,26.513,23.965,17.186,24.569,19.818,19.341,13.53,12.709,17.436,20.001,17.904,17.108,14.116,17.349
18.417,10.288,12.419,20.108,12.426,22.321,14.963,8.6394,16.358,13.578,0,20.278,16.215,16.307,12.79,15.989,15.496,20.4,10.634,8.1087,15.27,16.202,10.73,15.36,22.291,14.75,22.973,15.642,8.8396,8.6176,8.5363,16.923,11.554,11.101,11.632,14.538,11.438,19.672,16.898,16.738,17.094,10.17,11.389,16.164,15.739,8.8681,15.88,16.211,16.619,19.489,9.5894,15.195,10.407,10.634,15.707,14.315,11.914,10.303,17.393,11.714,12.887,13.618,17.233,23.745,10.404,10.871,10.068,15.941,18.477,11.59,10.572,12.241,19.015,14.512,22.544,18.565,11.996,18.835,21.865,13.59,11.987,11.145,11.838,20.841,10.445,18.126,11.984,19.022
9.0222,25.952,25.588,11.892,25.964,13.776,25.388,21.454,9.8267,25.43,20.278,0,25.269,21.836,31.415,13.834,13.007,9.9695,23.742,22.712,11.996,16.321,19.54,23.11,7.8195,12.983,12.743,12.271,22.425,23.426,27.723,9.9865,17.471,16.335,18.551,17.562,18.968,22.473,21.503,13.016,10.28,19.575,21.316,20.624,14.624,18.201,17.158,16.075,12.148,10.686,16.822,13.726,23.767,14.561,12.544,19.254,18.963,21.796,11.9,15.769,15.74,17.949,15.183,17.164,16.546,19.089,16.967,16.237,16.174,15.261,16.446,15.527,9.679,14.513,13.224,13.187,18.057,13.579,16.799,18.352,19.228,21.162,15.728,17.904,16.761,16.468,17.119,17.354
23.45,17.53,14.123,15.612,15.816,15.498,15.149,16.492,18.561,14.933,16.215,25.269,0,10.468,20.642,19.377,17.752,24.087,12.644,15.662,19.008,21.219,17.634,15.158,24.994,18.244,25.419,19.746,14.514,19.342,15.181,18.935,24.521,18.384,22.933,19.073,17.653,27.728,23.268,19.259,19.068,22.812,22.291,25.075,17.578,21.479,17.8,25.11,20.34,21.37,21.183,19.82,18.502,20.242,16.982,25.704,16.961,13.69,23.16,16.989,17.386,25.655,19.526,20.443,20.586,25.401,23.071,12.431,12.967,15.417,14.342,20.63,25.574,13.572,23.677,25.365,22.363,25.218,14.462,22.539,14.023,14.552,22.719,14.87,21.561,11.977,17.574,10.918
17.253,18.207,14.026,13.753,15.884,12.332,14.926,15.904,16.793,14.966,16.307,21.836,10.468,0,20.549,18.207,15.279,21.531,12.68,13.493,17.379,19.133,18.508,12.668,19.589,16.294,20.252,18.096,12.51,20.659,14.985,17.234,24.429,17.154,24.526,17.038,18.45,23.452,23.572,16.554,16.56,22.03,23.204,25.913,17.447,21.191,17.188,24.098,19.418,18.411,21.765,17.453,18.032,20.844,15.521,22.696,17.786,12.864,18.104,16.359,17.538,22.287,18.058,19.326,20.688,21.215,21.813,9.0951,10.693,13.85,12.532,17.933,22.835,8.6926,20.097,20.071,20.504,20.992,12.949,21.021,13.329,12.515,20.088,13.034,20.551,9.3077,16.159,9.2379
41.313,8.8957,18.71,19.346,15.468,25.218,18.472,13.433,27.774,14.016,12.79,31.415,20.642,20.549,0,20.275,19.114,28.199,13.766,13.426,20.323,20.19,15.993,17.666,29.255,19.362,30.259,24.619,15.701,10.949,12.962,21.618,13.966,15.943,14.814,20.69,12.867,16.199,16.721,21.874,21.597,12.497,12.825,22.892,20.34,13.786,19.879,13.364,20.774,23.876,13.841,25.619,13.21,14.266,20.825,15.972,15.311,13.339,26.558,16.791,16.21,15.578,22.01,28.301,13.339,14.238,13.775,19.27,21.417,16.066,16.393,15.734,27.273,18.882,29.088,26.569,15.687,26.992,25.256,17.137,16.109,15.158,16.067,24.797,14.558,21.11,16.175,21.202
15.611,18.849,17.089,12.808,17.371,18.302,19.067,17.027,11.818,17.29,15.989,13.834,19.377,18.207,20.275,0,10.104,16.56,14.592,13.249,8.5802,6.6925,15.008,17.44,17.163,8.7508,19.804,8.6833,15.357,14.151,14.034,11.519,13.838,12.197,15.074,9.653,12.952,16.654,18.404,8.3958,10.947,13.856,14.245,15.639,11.2,13.815,9.3053,13.465,9.861,14.866,12.852,8.8488,16.03,13.151,10.498,17.213,15.398,14.774,13.655,15.218,14.619,13.802,11.126,21.951,13.208,15.913,14.317,17.006,18.613,14.545,14.998,14.987,13.857,16.666,19.479,10.227,16.365,12.416,20.363,15.494,17.072,15.999,13.468,20.3,14.41,17.904,17.079,18.782
15.315,18.087,16.147,8.7682,16.263,14.616,17.014,16.169,11.164,14.999,15.496,13.007,17.752,15.279,19.114,10.104,0,14.656,13.485,12.518,9.759,10.499,17.811,13.921,17.179,7.9396,19.446,8.4808,15.006,14.68,14.231,10.787,16.162,15.893,17.289,14.058,16.022,18.184,20.896,8.7983,10.714,16.471,16.644,18.456,10.277,17.29,10.769,16.617,10.995,14.604,16.312,10.362,15.759,14.239,9.4822,16.859,16.927,12.739,12.219,14.389,15.832,16.549,12.475,20.675,16.094,16.129,14.477,14.432,16.279,12.898,13.153,15.204,13.723,14.561,19.21,11.932,15.5,12.967,17.198,15.734,15.649,15.421,15.501,17.4,16.273,14.862,15.406,16.215
9.355,25.91,24.726,12.245,25.939,13.101,25.506,21.49,11.937,24.409,20.4,9.9695,24.087,21.531,28.199,16.56,14.656,0,25.075,23.975,12.117,17.512,20.38,24.816,11.866,13.79,14.552,12.877,25.553,19.487,25.34,11.841,19.932,16.887,20.895,16.762,18.743,21.733,24.262,13.146,12.757,21.151,21.112,21.497,15.362,19.65,16.674,19.213,14.662,13.21,18.521,13.419,25.795,16.33,13.388,20.453,18.923,17.207,11.978,15.704,16.814,19.51,16.191,18.09,18.498,19.373,18.68,15.926,14.857,15.318,15.483,16.017,10.96,14.63,15.063,14.697,18.419,14.955,16.856,19.416,16.792,16.347,17.017,17.367,17.473,16.504,16.946,17.137
18.24,13.084,8.711,15.311,7.8559,19.309,9.7215,8.7584,16.585,9.8588,10.634,23.742,12.644,12.68,13.766,14.592,13.485,25.075,0,7.9285,16.866,18.211,17.487,13.372,23.644,16.428,26.792,18.174,12.125,14.992,10.436,18.053,23.378,14.734,17.497,16.256,16.531,23.181,21.989,17.68,17.754,21.864,19.258,24.451,16.139,21.287,16.32,23.505,18.304,21.273,16.651,17.332,10.94,14.423,16.871,22.547,14.824,10.198,18.264,13.77,13.819,19.326,18.104,24.48,13.432,18.222,15.793,15.213,17.089,12.68,12.667,14.55,25.757,14.537,25.115,25.903,18.277,22.077,20.603,18.471,12.648,11.682,14.817,20.277,13.998,16.963,12.029,16.737
18.5,10.572,8.0291,16.758,8.6651,20.443,8.7535,7.8439,15.551,9.0243,8.1087,22.712,15.662,13.493,13.426,13.249,12.518,23.975,7.9285,0,16.827,18.366,13.647,13.607,26.232,16.056,27.15,16.897,10.267,13.464,8.3132,18.832,17.833,13.796,17.681,16.431,14.6,21.365,18.853,18.138,18.263,18.738,18.052,23.047,16.77,15.498,17.639,19.218,18.103,22.031,14.108,17.495,9.6312,15.471,17.426,21.084,11.857,10.2,19.455,12.895,14.01,18.803,19.279,25.368,14.101,18.394,16.069,15.36,17.2,12.194,11.497,13.915,24.831,14.243,26.083,23.162,16.231,25.061,20.526,17.199,11.707,11.996,14.822,20.876,13.69,17.437,11.719,17.039
14.318,18.8,15.961,6.8213,17.158,13.614,16.92,16.816,11.53,16.65,15.27,11.996,19.008,17.379,20.323,8.5802,9.759,12.117,16.866,16.827,0,9.8399,19.195,15.295,14.741,6.5587,17.887,6.974,14.001,16.362,15.123,10.308,17.256,11.896,16.954,10.532,15.988,19.401,21.595,7.2696,9.8827,13.746,17.002,17.792,9.6297,19.091,8.7993,17.573,8.1462,11.622,15.884,7.6656,14.481,12.392,8.7817,17.103,15.741,12.614,11.723,13.464,13.15,18.137,11.261,19.425,14.308,17.382,14.236,15.039,17.047,12.392,12.421,14.441,13.128,13.523,17.172,11.062,15.495,12.605,18.742,14.852,16.205,13.63,13.093,18.845,13.04,16.095,15.485,16.852
17.978,18.101,19.208,13.779,17.225,19.8,19.39,17.314,12.974,17.182,16.202,16.321,21.219,19.133,20.19,6.6925,10.499,17.512,18.211,18.366,9.8399,0,16.138,18.368,19.489,10.485,21.034,11.138,16.234,13.853,14.918,13.092,15.024,13.626,16.033,11.063,14.729,17.699,18.532,11.224,12.896,16.236,15.211,15.964,11.56,14.206,9.9522,17.755,10.297,16.023,14.477,11.094,14.693,15.391,12.092,17.574,15.217,15.606,14.248,16.875,14.746,14.849,10.758,23.39,14.631,16.343,15.37,18.012,19.402,15.755,17.147,16.713,15.858,17.878,21.976,12.254,17.053,12.318,20.92,17.36,19.008,17.086,15.233,20.788,17.138,19.311,18.549,19.999
19.94,11.418,14.91,20.504,14.954,24.022,18.425,12.549,17.614,15.989,10.73,19.54,17.634,18.508,15.993,15.008,17.811,20.38,17.487,13.647,19.195,16.138,0,17.977,22.638,16.827,23.451,16.436,11.737,10.422,12.092,18.967,10.487,11.836,14.096,17.45,12.612,14.314,17.777,17.127,18.898,11.143,11.884,13.592,18.529,13.903,18.441,11.875,18.609,20.689,10.91,16.277,14.024,12.309,18.294,12.8,14.511,13.571,19.681,14.824,15.663,12.235,19.124,24.099,12.423,11.424,11.575,18.495,20.845,14.369,13.85,13.509,19.516,15.765,23.144,18.262,11.596,19.284,23.283,14.587,15.798,13.46,13.252,22.314,11.896,20.422,14.93,21.204
17.597,16.385,12.677,15.096,13.662,15.822,14.067,15.087,17.195,14.691,15.36,23.11,15.158,12.668,17.666,17.44,13.921,24.816,13.372,13.607,15.295,18.368,17.977,0,23.616,15.928,23.86,17.61,12.857,15.75,14.22,16.588,17.597,15.575,17.194,17.75,17.226,18.883,22.443,16.987,16.635,16.887,19.092,19.782,16.017,17.647,16.476,19.472,18.296,19.768,15.45,16.812,15.25,14.62,15.949,18.023,16.893,10.262,18.221,11.152,16.007,18.457,18.398,21.631,15.319,15.508,16.976,11.577,14.594,10.733,11.639,14.949,22.923,11.496,23.372,24.284,14.949,22.866,18.904,16.115,9.9056,10.047,15.108,17.941,14.39,13.38,11.577,15.303
