0,8.2728,9.5315,9.77,9.4468,14.838,18.323,17.259,11.532,11.693,6.5875,7.7413,7.8721,10.978,8.3151,10.035,8.5831,13.627,11.22,7.9592,7.4173,6.6829,7.4749,7.7573,10.418,7.0216,7.5229,11.655,7.5814,12.152,11.383,9.651,7.6727,12.161,16.214,9.9885,9.7545,17.182,17.588,13.247,20.96,6.7692,16.101,13.338,12.804,14.193,9.4684,17.166,18.322,12.346,17.339,16.879,17.617,18.6,10.465,16.793,14.818,15.889,11.278,13.87,16.33,20.143,13.618,15.085,19.298,20.15,17.674,19.482,17.862,8.8479,15.404,11.607,16.909,17.406,19.116,16.648,12.317,18.336,16.437,15.948,16.181,18.984,14.607,11.815,16.312,16.285,17.084,15.922,17.648,15.04,11.304,16.337,14.38,13.784,15.694,15.347,14.828,13.12,11.894,16.066,16.258,14.543,13.659,16.457,19.833,15.649,17.05,16.027
8.2728,0,10.604,13.583,12.746,17.16,17.615,19.767,10.986,13.99,11.083,11.361,7.9521,13.655,11.043,12.704,11.454,15.061,12.252,8.7177,10.678,11.22,11.61,11.521,11.134,10.514,10.19,13.058,11.43,14.913,14.859,11.788,11.103,12.571,14.369,12.499,10.996,19.349,19.614,14.363,21.687,10.115,17.028,14.346,13.776,15.757,11.966,21.598,21.591,12.056,20.37,15.7,17.696,21.937,10.494,20.417,15.105,17.544,11.782,13.32,19.848,19.627,17.907,19.228,20.912,19.179,18.429,21.709,18.992,9.3037,15.869,11.588,18.239,16.99,25.454,15.611,11.515,16.219,17.926,17.441,17.848,18.074,16.059,12.163,15.526,15.011,16.576,16.368,18.381,13.278,10.502,18.109,14.673,14.07,13.429,17.398,18.125,11.723,11.888,16.517,14.476,14.959,12.88,15.595,20.206,14.578,15.294,16.033
9.5315,10.604,0,12.311,12.346,18.026,21.629,22.836,11.352,15.754,11.56,11.254,11.153,15.106,11.835,14.254,10.169,20.337,13.241,11.749,11.941,10.232,12.212,11.302,11.248,11.842,12.349,11.958,11.06,13.701,14.003,13.18,8.3713,13.843,17.364,12.57,8.7721,20.584,21.406,14.177,19.271,10.508,19.341,13.669,11.746,21.16,11.237,20.62,18.755,21.401,19.78,15.831,19.108,21.354,12.245,18.497,20.285,20.411,12.925,16.919,19.393,22.937,19.243,19.842,22.102,19.772,19.704,26.307,19.227,11.638,19.706,11.778,19.714,18.542,25.183,17.605,14.549,20.864,20.812,19.313,18.505,18.105,19.195,11.852,18.976,19.463,15.966,19.235,19.597,15.395,10.019,19.509,20.102,15.239,16.5,19.303,18.029,13.787,11.749,19.545,17.469,17.352,13.579,17.369,22.413,17.068,18.01,15.524
9.77,13.583,12.311,0,7.9304,22.927,21.621,22.82,19.655,14.561,7.9482,8.5308,9.6711,13.03,16.092,9.6877,10.303,18.002,9.008,12.363,8.918,8.9448,7.1639,9.0536,13.805,10.708,9.7186,9.9199,7.4475,10.606,7.6592,9.8431,15.742,21.53,17.76,8.4941,8.2365,21.67,21.673,13.29,22.381,9.4471,19.832,21.268,12.254,17.995,9.7031,20.029,20.773,22.725,22.114,17.267,17.812,22.482,19.017,20.274,16.916,23.912,9.6566,21.2,17.695,23.81,17.236,17.267,23.479,23.899,17.924,24.954,23.974,14.09,15.32,9.8412,22.641,23.58,25.26,15.865,12.567,17.416,19.019,18.16,19.053,16.698,15.462,9.6891,16.505,18.837,15.168,21.851,18.155,15.204,9.8555,15.934,18.846,14.377,17.312,16.982,19.513,13.102,10.104,16.038,14.683,14.13,13.064,13.856,22.053,17.302,16.463,13.202
9.4468,12.746,12.346,7.9304,0,18.928,22.452,22.385,12.798,13.708,7.5917,8.2394,9.858,11.908,11.664,9.5098,10.596,18.152,7.9246,10.036,9.9242,8.287,7.3021,9.6955,12.034,9.0483,10.949,10.139,8.496,10.783,8.4365,10.064,10.519,14.844,15.121,7.5238,10.44,19.805,22.413,13.682,20.977,11.311,20.315,13.73,13.108,19.172,11.434,19.1,18.543,17.157,19.335,17.902,20.805,22.64,11.784,19.023,18.124,18.296,8.5046,15.978,18.309,21.011,18.272,20.033,21.46,21.063,21.874,24.004,17.319,10.007,18.206,10.603,19.351,19.144,26.853,17.011,11.447,18.209,20.174,18.342,18.284,18.592,18.462,10.941,18.397,18.652,17.09,18.422,19.758,16.534,10.032,18.767,19.601,16.295,16.83,19.096,16.548,14.796,12.14,19.837,17.307,17.127,15.626,16.624,19.367,17.574,19.427,14.968
14.838,17.16,18.026,22.927,18.928,0,13.317,10.144,18.643,20.209,19.409,18.762,17.354,19.985,17.2,19.719,18.058,10.376,20.132,17.354,17.995,18.72,18.904,18.616,18.663,18.323,16.746,19.656,18.99,20.208,20.49,19.13,17.535,9.5417,17.206,19.345,17.668,9.3693,13.844,14.952,10.967,18.112,12.228,15.943,18.365,13.922,18.508,13.703,12.002,16.994,10.333,16.049,19.657,12.861,17.159,10.987,10.787,12.916,18.957,15.686,10.563,14.376,11.087,11.125,11.579,13.414,10.927,14.065,13.903,18.228,9.9674,18.36,9.6069,9.4852,17.167,13.471,19.905,13.382,10.774,11.787,12.043,15.511,11.68,18.973,11.229,12.874,20.395,13.707,15.269,15.231,17.92,12.439,13.751,15.456,12.17,12.543,14.217,17.321,18.229,11.653,14.104,11.312,14.989,18.061,11.961,12.982,13.102,19.608
18.323,17.615,21.629,21.621,22.452,13.317,0,12.672,18.199,20.204,20.116,20.562,19.346,20.453,18.875,20.688,18.125,11.606,20.615,18.211,19.711,19.692,19.845,19.245,18.275,19.355,18.94,19.521,19.794,20.797,21.198,20.47,18.956,12.388,15.964,19.987,19.192,7.8365,7.6351,16.621,11.615,18.573,11.532,17.913,18.959,12.732,18.151,16.621,14.67,18.095,11.842,15.989,16.55,14.101,17.374,11.157,10.299,15.217,19.09,17.956,12.402,19.259,13.699,11.948,13.914,13.57,11.925,18.816,17.394,19.752,11.641,18.878,11.19,11.194,19.412,14.965,20.891,10.807,11.793,13.027,12.06,14.008,13.117,18.894,12.089,13.277,19.111,15.384,12.712,14.848,18.829,13.126,12.445,14.742,13.651,14.285,16.839,16.968,19.042,12.307,15.452,12.568,14.441,18.973,14.041,12.963,13.831,18.518
17.259,19.767,22.836,22.82,22.385,10.144,12.672,0,17.187,20.574,17.891,18.165,17.582,20.497,17.02,19.711,17.446,10.811,19.235,15.82,18.905,17.608,18.225,17.753,18.193,17.319,16.598,19.051,17.739,20.321,19.201,19.586,16.597,11.53,16.491,18.672,17.09,13.522,17.8,17.856,14.389,18.334,16.721,16.848,19.166,18.464,17.676,17.599,12.574,16.733,10.058,16.661,20.067,13.469,16.761,12.839,14.772,12.157,17.848,15.788,13.635,14.782,13.164,14.56,12.57,15.995,9.9571,13.478,12.674,17.983,13.313,17.761,9.4623,10.466,16.757,16.546,20.057,16.538,15.154,14.42,10.842,18.099,13.953,17.806,13.784,16.202,21.354,13.573,17.693,15.662,17.947,12.643,16.714,15.898,12.545,13.952,14.745,17.579,17.28,13.613,15.52,12.154,15.781,19.239,10.705,13.204,13.425,21.104
11.532,10.986,11.352,19.655,12.798,18.643,18.199,17.187,0,13.376,11.419,11.382,9.7411,12.472,9.4038,12.253,7.8018,21.141,13.579,9.1864,10.486,10.089,11.819,10.129,7.8926,10.393,10.149,13.318,10.878,12.395,13.871,10.811,9.6181,14.345,14.696,12.063,9.8255,21.475,23.178,15.677,19.836,8.353,20.971,15.192,11.078,22.411,9.2092,22.198,20.637,11.579,19.758,16.14,17.596,20.724,13.368,21.965,21.62,18.397,11.586,15.086,20.181,18.859,21.311,21.274,21.223,20.959,21.464,20.993,19.79,12.267,19.629,10.682,21.756,20.923,22.453,17.291,14.121,19.502,20.167,18.607,19.985,18.428,19.545,12.024,17.938,19.088,14.669,19.805,18.076,12.12,10.83,18.673,19.663,12.509,14.958,18.27,16.939,11.657,10.682,17.645,15.696,17.146,11.357,17.35,18.627,14.382,14.08,14.674
11.693,13.99,15.754,14.561,13.708,20.209,20.204,20.574,13.376,0,11.587,11.53,14.474,8.7909,17.843,11.655,15.41,21.017,12.552,16.799,11.915,14.951,11.886,14.286,15.877,15.011,16.248,14.853,12.355,10.783,14.033,11.704,18.259,20.546,15.949,13.003,16.007,20.912,20.692,15.68,21.607,13.27,20.087,21.586,14.109,19.032,14.385,20.583,23.749,20.77,20.839,18.851,16.252,22.743,19.77,21.203,22.387,22.634,12.917,22.714,18.734,23.456,20.823,20.954,25.551,20.451,21.414,27.017,24.951,15.172,19.908,14.568,21.167,21.256,26.492,17.284,15.489,19.755,18.274,18.794,21.55,17.35,20.113,13.993,19.313,18.654,16.554,20.697,17.524,15.922,15.525,19.867,16.746,16.667,20.424,18.832,19.819,15.723,15.411,19.464,18.406,20.156,15.634,15.915,20.542,19.274,19.61,16.862
