0,19.324,21.153,22.919,22.191,21.407,20.333,9.0837,8.6299,13.093,22.667,21.344,14.889,20.24,20.814,21.007,20.552,18.796,17.206,14.147,9.4579,23.477,18.414,21.092,8.3139,16.186,19.549,15.358,18.677,20.142,17.491,20.149,22.276,20.055,20.537,19.3,19.907,20.658,23.54,19.653,20.74,23.967,19.173,19.942,19.158,19.011,20.609,19.495,18.753,18.656,20.871,16.888,17.739,16.829,20.388,19.661,16.245,18.709,20.534,20.866,19.337,19.951,19.549,19.698,19.21,18.303,20.219,18.078,18.282,17.316,14.661,18.758,18.107,9.5354,21.017,17.741,17.66,18.258,15.798,21.579,18.26,20.62,18.374,19.675
19.324,0,11.734,14.277,11.119,10.748,13.047,17.134,14.922,18.907,10.912,9.4533,15.766,12.412,9.6596,7.8473,12.466,10.524,10.043,15.593,15.752,8.5247,11.791,9.2783,15.292,20.544,10.578,16.086,12.666,14.973,12.997,14.364,12.766,12.315,9.6998,11.727,13.005,12.173,12.444,9.707,10.316,9.5,9.7823,15.187,12.098,9.2696,7.2202,8.9529,9.8006,10.19,9.0922,9.5925,13.735,9.335,13.066,11.499,11.614,10.814,9.0589,20.366,10.183,12.983,10.705,14.863,16.809,13.595,9.9983,11.447,11.753,11.323,17.704,9.9826,9.9069,14.339,19.466,9.8091,10.967,9.0071,9.3389,21.442,9.9974,20.628,14.435,14.51
21.153,11.734,0,16.251,10.442,11.139,6.964,18.693,18.657,18.927,14.187,15.291,19.531,12.53,10.881,14.127,11.284,14.404,13.799,18.338,18.465,11.394,7.8055,11.867,17.856,20.51,11.363,19.895,9.1831,9.7899,11.675,9.7953,11.112,10.17,13.93,13.952,8.001,8.1666,14.295,10.664,13.936,13.684,13.355,9.7397,9.7797,9.8257,15.561,13.886,16.769,13.516,14.026,13.125,18.115,13.383,9.7443,17.095,16.677,14.696,9.4859,22.6,16.429,17.723,15.259,22.564,21.035,20.872,16.696,15.708,9.8445,18.366,19.587,14.037,15.546,18.845,22.679,14.317,17.224,16.131,15.89,23.425,16.199,22.553,21.516,19.5
22.919,14.277,16.251,0,13.923,11.679,16.846,22.272,20.302,22.767,9.6377,9.3924,17.768,11.021,14,15.411,18.642,12.194,11.84,18.802,21.435,13.604,14.517,11.796,19.868,23.022,11.656,18.507,13.89,12.663,13.837,12.858,15.939,15.639,10.357,16.471,15.714,13.725,14.865,15.524,11.001,15.314,16.656,13.633,15.199,16.442,13.999,15.374,13.804,11.451,15.212,12.732,12.821,12.918,12.501,14.814,14.564,11.746,12.261,19.865,15.185,12.238,11.998,16.317,17.326,16.528,13.986,12.663,16.15,14.481,19.739,19.407,13.33,20.812,19.772,11.876,13.436,15.606,15.449,21.198,12.543,21.117,15.576,14.932
22.191,11.119,10.442,13.923,0,11.481,11.456,21.462,19.569,21.085,14.564,11.966,18.816,12.035,8.8341,12.869,13.755,13.818,14.386,20.176,20.266,9.3829,11.976,11.829,19.279,22.831,13.567,19.422,12.427,10.636,11.822,11.114,10.851,10.049,12.435,14.165,11.476,8.6256,12.256,12.001,14.876,12.361,12.033,10.549,10.883,11.514,12.409,13.229,14.071,11.521,10.971,12.966,17.512,12.765,11.485,14.033,15.356,11.779,10.03,22.069,16.997,16.51,13.72,19.175,20.491,21.191,12.315,14.067,12.699,17.265,18.973,14.994,14.671,21.093,22.408,13.331,18.308,14.837,15.417,23.446,13.482,21.93,20.94,18.489
21.407,10.748,11.139,11.679,11.481,0,11.142,20.781,19.999,21.17,13.407,11.041,19.633,12.724,13.465,14.892,13.374,13.902,14.44,20.413,19.909,11.458,9.0748,9.9417,20.219,22.004,10.218,20.173,10.741,8.6478,15.197,9.4267,9.4159,13.512,10.291,12.887,9.8574,11.022,10.724,9.6801,10.885,12.939,12.653,10.204,11.676,13.552,14.513,12.3,15.639,11.85,11.492,9.6291,16.909,11.982,11.676,13.931,12.823,12.964,10.523,22.765,14.636,15.009,14.155,22.418,20.617,20.889,15.989,15.024,9.3638,20.366,20.195,16.283,15.066,19.382,22.765,11.428,13.398,16.237,17.082,23.788,12.832,22.899,20.717,18.924
20.333,13.047,6.964,16.846,11.456,11.142,0,20.062,19.681,20.247,16.921,14.916,19.659,13.976,12.622,14.989,10.728,15.706,16.051,19.405,20.085,12.591,10.218,15.114,19.173,21.322,11.825,20.714,11.946,10.762,14.1,11.154,10.694,12.162,14.345,13.427,8.4807,10.037,14.836,11.814,15.326,11.656,11.691,11.275,11.906,10.773,15.809,13.07,17.687,13.613,12.956,13.84,18.881,14.979,12.062,17.406,17.393,14.826,12.022,23.658,18.828,18.532,16.21,21.654,22.093,22.458,16.358,15.744,11.589,21.409,20.544,14.238,16.253,20.515,23.561,16.5,18.605,16.591,16.612,24.515,16.663,23.663,22.509,20.806
9.0837,17.134,18.693,22.272,21.462,20.781,20.062,0,9.0212,10.11,21.879,21.432,13.232,19.67,19.506,17.188,18.567,19.436,18.106,11.511,7.5832,22.617,17.568,21.343,9.9623,13.758,18.097,13.967,18.037,20.265,15.782,19.453,21.859,20.269,20.817,16.598,18.289,18.036,19.756,17.407,20.277,20.602,20.344,19.671,18.628,14.123,19.102,15.632,18.763,15.912,19.999,16.885,18.171,14.043,18.1,18.02,15.327,17.065,16.074,19.808,18.202,18.92,18.867,18.881,18.381,17.254,18.336,17.347,16.282,17.299,13.753,18.135,16.811,8.3543,19.469,17.669,16.891,17.692,14.265,20.222,18.002,19.488,17.486,19.727
8.6299,14.922,18.657,20.302,19.569,19.999,19.681,9.0212,0,12.7,24.569,23.003,14.288,24.285,23.356,21.59,28.657,23.44,23.441,13.419,8.1664,23.945,27.445,22.674,7.3667,16.096,25.885,15.167,24.89,25.567,27.175,24.986,27.648,26.167,23.33,27.333,27.878,24.134,26.417,25.867,24.418,24.879,30.027,24.913,27.752,27.263,19.862,26.626,17.309,23.642,23.165,23.519,20.993,22.885,25,19.431,16.125,21.462,22.809,19.849,18.658,21.006,20.418,19.798,18.42,18.171,22.171,21.227,25.572,18.149,15.182,27.025,21.404,9.2755,19.657,21.646,22.384,17.697,14.387,19.9,22.186,19.547,17.998,20.134
13.093,18.907,18.927,22.767,21.085,21.17,20.247,10.11,12.7,0,20.553,19.623,11.796,19.035,18.999,19.127,21.712,19.864,19.781,9.8878,10.16,20.647,20.621,19.993,10.32,8.8888,20.042,12.774,18.699,21.472,17.588,20.577,23.573,23.029,20.503,19.774,19.994,17.712,22.089,19.691,21.055,21.683,22.488,21.534,22.4,21.123,19.97,18.971,19.016,19.607,19.083,17.979,18.716,16.537,20.098,18.097,15.071,17.547,19.283,16.801,19.001,18.945,17.583,17.58,15.113,16.146,19.169,18.649,19.238,16.951,11.214,19.928,19.114,11.388,16.54,18.939,19.206,20.059,16.688,17.297,19.11,16.202,17.173,16.948
