0,19.349,15.353,12.927,16.647,19.458,18.096,18.283,13.529,16.306,16.86,21.025,14.154,17.131,17.018,9.4803,9.2755,17.026,12.694,11.449,12.095,14.696,20.167,12.289,16.936,14.26,14.848,11.229,15.551,11.945,14.506,18.027,11.228,15.648,16.34,11.456,15.516,11.067,17.129,16.529,17.318,15.645,21.384,17.285,12.143,17.022,14.366,18.095,17.689,15.85,18.361,10.965,13.449,13.303,15.217,12.907,15.543,14.49,12.717,22.204,15.261,12.305,13.65,12.532,14.632,19.825,12.702,13.584,13.273,15.731,15.668,14.121,11.604,18.766,13.195,11.43,15.897,19.064,18.626,11.407,19.36,18.786,11.796,13.575,19.409,16.08,19.751,13.641,13.472,10.616,14.106,11.146,13.616,18.627,14.096,17.071,20.261,11.725,17.727,15.378,20.084,19.049
19.349,0,11.377,14.868,14.303,15.099,9.911,11.708,13.69,13.169,13.777,15.265,15.282,13.761,14.306,13.07,14.606,14.964,16.264,17.033,14.434,17.792,13.439,15.304,12.332,14.641,12.692,14.769,12.463,22.861,11.546,14.185,14.692,12.872,10.944,14.35,12.334,14.936,14.354,13.999,15.814,18.134,16.484,27.314,14.819,13.043,17.506,20.679,24.115,20.339,17.398,19.301,17.662,17.38,20.246,16.069,15.587,18.206,19.311,20.526,17.593,13.335,16.285,13.491,15.903,9.7913,16.69,17.049,17.654,9.7741,11.549,11.67,17.175,9.0595,14.196,13.829,11.656,9.8414,9.4574,16.156,9.7327,9.0344,16.145,12.784,10.715,9.1077,10.414,11.721,14.939,17.688,12.152,13.765,14.315,9.4258,12.729,10.828,9.1256,14.441,8.292,11.952,9.0785,8.9161
15.353,11.377,0,18.1,7.6967,17.285,14.756,14.934,15.644,8.4422,9.6574,18.744,17.353,15.949,15.057,16.119,17.416,8.9157,17.884,18.784,18.395,19.445,16.6,18.623,9.4547,16.249,7.2162,15.809,10.54,21.522,14.881,12.372,17.635,8.0358,16.662,17.249,18.064,18.264,9.3342,9.1965,11.278,20.405,17.126,27.461,18.132,15.698,21.8,20.198,23.318,19.077,19.231,21.469,18.553,19.182,21.222,19.837,19.21,18.409,20.793,18.493,20.417,17.385,20.432,17.54,20.495,15.003,19.21,19.196,20.309,13.37,16.397,17.723,19.047,14.538,18.017,18.533,16.229,14.211,14.282,19.282,15.634,14.398,18.803,17.815,16.08,12.803,17.132,16.841,17.909,19.715,16.889,18.041,17.488,13.284,17.148,15.988,15.3,18.106,12.653,16.861,14.951,13.656
12.927,14.868,18.1,0,15.783,10.985,16.735,12.961,7.7768,16.108,16.57,8.0465,6.7264,16.096,12.505,17.298,16.067,17.014,8.5842,9.2661,9.8525,8.6484,11.357,7.4998,16.314,18.287,15.246,16.28,15.381,16.758,9.337,16.986,9.512,16.134,11.869,7.626,13.065,8.868,16.256,15.989,16.974,14.928,10.74,20.752,14.917,16.011,11.365,10.885,15.162,11.863,12.678,11.473,8.9533,8.8479,18.479,18.923,11.71,8.3409,9.1451,10.776,7.919,14.582,10.273,14.745,12.099,18.158,10.058,11.324,10.088,15.091,13.735,10.286,12.35,17.747,10.034,9.8696,14.117,16.652,17.385,10.32,18.857,17.221,9.4263,10.873,16.279,14.891,19.038,13.986,9.723,9.8277,17.691,12.725,8.9769,16.444,10.984,16.622,18.686,9.1616,15.892,12.158,18.675,17.734
16.647,14.303,7.6967,15.783,0,19.702,19.745,15.743,18.786,8.576,9.6936,19.576,19.457,19.952,18.789,11.127,13.366,7.5715,21.072,22.308,21.232,20.417,19.812,21.137,12.576,16.873,9.2019,13.29,9.5946,24.782,17.446,13.829,20.438,10.374,18.279,20.068,21.087,19.391,8.3473,8.7037,10.866,23.142,18.739,28.39,19.468,19.471,22.906,21.742,25.253,22.163,21.966,23.292,21.883,21.788,12.236,22.27,20.681,20.15,22.271,18.976,23.063,18.286,22.395,21.701,22.012,19.719,22.7,22.486,22.564,16.616,20.098,20.664,22.017,18.666,20.981,22.526,19.085,16.804,18.066,22.903,18.643,17.703,21.676,19.566,18.502,16.972,21.709,19.615,20.413,22.755,17.253,20.41,20.097,18.236,19.679,19.081,21.084,21.281,17.331,19.818,18.79,18.348
19.458,15.099,17.285,10.985,19.702,0,16.843,13.156,11.969,17.368,16.279,11.013,13.32,17.697,14.045,18.044,17.745,18.561,16.043,16.485,15.859,16.402,8.424,12.811,18.142,18.259,16.232,17.853,18.159,23.455,10.23,19.346,17.071,18.398,14.316,16.059,17.655,12.862,19.288,18.936,20.465,16.508,12.177,24.089,18.032,16.253,17.329,15.933,21.581,15.905,14.89,20.329,16.466,15.728,17.108,20.6,11.868,17.309,18.064,17.799,13.596,17.641,16.451,18.239,16.404,18.37,19.958,14.546,18.079,16.87,13.549,14.381,17.885,16.82,14.894,16.937,14.91,15.906,17.17,17.305,17.735,16.888,15.228,13.541,15.089,16.957,19.393,18.231,17.043,20.081,18.199,18.969,13.101,16.637,15.01,16.603,19.973,15.358,17.528,15.727,17.525,16.813
18.096,9.911,14.756,16.735,19.745,16.843,0,12.949,11.753,16.172,14.927,14.761,16.127,14.27,16.849,15.329,15.367,18.315,16.491,15.994,12.813,18.92,13.076,14.027,14.148,14.089,14.366,15.54,14.361,19.862,10.291,17.751,14.165,15.548,11.973,13.723,13.555,14.256,17.647,17.729,18.35,18.963,18.204,22.579,14.049,8.8739,18.53,18.118,20.131,18.948,16.948,18.693,18.494,17.291,19.244,14.785,15.276,19.251,19.577,20.108,17.553,12.533,16.836,12.007,15.901,9.7483,18.282,17.223,18.664,10.948,13.042,12.574,17.267,11.535,15.749,14.71,11.583,11.089,11.277,17.057,11.526,10.621,15.236,12.187,13.275,9.8579,11.451,12.212,16.38,17.361,12.886,14.754,14.611,10.7,12.641,9.8044,11.739,14.806,10.42,12.944,10.017,8.5217
18.283,11.708,14.934,12.961,15.743,13.156,12.949,0,11.857,12.925,12.905,12.101,13.414,17.55,11.615,15.242,16.284,14.231,15.86,19.25,13.011,16.544,8.201,13.94,15.042,15.433,13.478,14.119,13.783,22.997,7.807,16.282,16.92,13.963,9.3025,14.522,13.982,15.572,15.467,14.878,16.655,19.226,14.884,27.283,18.332,17.505,17.416,18.421,22.791,19.958,18.84,18.387,17.903,17.644,15.345,20.44,16.411,15.572,18.803,18.321,18.248,14.479,13.126,20.258,17.186,16.017,20.272,20.282,17.858,14.485,15.261,13.672,17.483,16.029,14.731,15.327,15.711,14.081,15.452,20.773,15.608,14.703,15.692,13.431,13.492,14.747,16.314,18.103,14.873,19.852,14.765,16.664,15.904,15.725,14.533,16.085,16.101,17.188,14.679,14.68,15.816,15.698
13.529,13.69,15.644,7.7768,18.786,11.969,11.753,11.857,0,15.78,16.32,9.2424,7.9036,13.637,12.884,16.127,15.365,17.05,9.0118,10.62,9.6541,11.143,10.794,8.5976,14.449,17.673,14.096,16.176,14.142,18.071,8.9638,17.312,9.3705,15.321,11.348,8.675,11.686,9.0516,16.198,16.326,17.569,15.124,11.473,20.997,13.825,13.877,15.277,11.569,16.61,9.8322,12.2,14.379,9.1781,9.4341,17.786,17.941,12.29,9.77,10.595,11.485,8.2896,14.043,10.98,12.509,11.635,16.616,11.262,11.991,13.668,13.188,14.057,11.064,14.364,17.154,11.106,10.214,13.311,16.525,17.332,10.314,18.028,15.616,9.5742,11.476,15.598,14.072,17.891,13.189,10.519,10.243,15.473,11.392,9.8337,16.29,11.538,15.473,17.973,9.5902,15.084,12.628,17.692,16.464
16.306,13.169,8.4422,16.108,8.576,17.368,16.172,12.925,15.78,0,8.8691,22.671,21.656,12.648,19.247,8.9419,9.9859,6.8131,22.466,23.056,22.468,23.48,21.032,21.929,12.822,13.99,7.1262,10.594,7.57,26.052,20.004,13.081,22.046,7.7542,20.189,22.05,20.961,22.134,8.4688,7.9101,9.8775,22.729,22.845,28.79,19.417,18.544,22.169,24.031,26.065,21.807,21.715,22.778,24.053,22.465,14.203,21.588,20.962,22.896,24.885,25.988,23.06,13.928,22.703,16.411,20.97,19.451,24.03,22.048,22.208,14.775,19.009,19.587,22.391,16.733,20.46,21.5,17.693,14.735,17.439,22.201,17.308,17.573,21.739,19.991,17.364,15.04,19.179,15.315,21.191,22.191,15.04,20.841,19.952,19.232,19.666,16.954,21.183,21.281,17.68,15.261,18.014,17.382
