0,23.672,10.263,8.3291,21.522,8.3059,10.39,10.449,25.793,12.664,21.078,8.5958,21.196,7.396,17.975,24.059,6.8193,11.685,25.262,13.855,15.647,11.924,12.872,11.564,11.414,13.625,19.932,21.1,22.213,22.705,7.5707,23.677,11.34,18.743,19.577,23.868,9.8558,12.321,13.154,13.415,15.882,22.06,22.081,17.459,10.595,9.6132,20.846,17.604,14.241,16.738,14.861,12.012,11.488,11.493,22.877,22.501,25.428,15.511,20.648,21.343,27.385,23.132,21.917,22.558,23.627,24.532,14.691,24.947,23.419,24.783,25.588,25.923,25.704,24.649,23.696,12.085,25.315,12.886,13.635,24.221,11.336,25.58,24.04,25.875,23.959,25.821,25.629,25.786,25.491,25.43,25.599,25.228
23.672,0,21.108,21.414,20.236,23.542,21.569,21.593,13.906,12.894,12.081,22.269,12.631,21.917,20.95,12.687,23.354,21.146,11.893,18.777,12.956,20.993,13.763,22.083,19.975,12.643,14.198,16.799,17.431,12.963,22.185,17.946,21.768,19.876,19.433,14.336,22.295,14.852,15.159,19.226,14.244,12.008,14.828,12.427,21.575,21.725,13.838,19.321,13.312,12.936,13.765,13.534,21.867,14.026,13.507,12.118,12.879,13.463,12.462,12.975,19.074,13.092,11.841,14.767,13.401,13.794,14.65,16.354,12.195,12.915,13.627,14.498,13.03,12.33,13.152,14.356,14.45,14.902,14.416,12.781,14.197,14.179,13.343,13.281,11.998,14.276,14.594,13.884,12.97,13.169,13.177,13.49
10.263,21.108,0,8.1163,20.345,9.62,9.7549,9.1375,22.049,10.997,15.712,8.1067,15.866,8.7114,16.49,21.172,10.007,9.4736,21.473,11.193,15.234,10.973,8.915,11.769,9.0554,10.858,18.217,19.108,16.036,17.435,9.548,21.304,11.367,18.055,18.529,17.523,9.4906,11.751,12.449,11.108,12.432,21.326,22.791,14.238,9.6572,8.4242,16.091,17.078,15.544,14.206,12.447,11.084,9.5463,10.706,20.925,16.932,22.155,13.186,14.985,16.154,26.744,17.282,14.746,17.514,22.162,23.744,13.535,22.714,22.535,23.81,23.661,22.584,23.727,23.771,23.396,10.244,24.01,11.354,11.941,22.015,10.262,24.325,22.927,24.292,21.491,23.331,24.215,23.111,24.675,23.47,23.495,23.925
8.3291,21.414,8.1163,0,18.639,9.578,8.3394,9.1255,24.625,10.26,15.932,9.2387,21.527,8.1958,17.508,24.371,7.2464,10.601,24.145,13.806,17.538,11.611,13.024,11.948,12.3,12.451,23.704,22.642,17.155,24.186,7.7749,24.43,9.6089,20.14,19.087,24.067,8.8981,11.525,15.038,11.577,14.171,23.204,18.172,20.537,9.9111,8.2784,14.71,16.052,12.676,16.306,13.449,12.123,9.9912,11.088,19.909,23.489,24.111,16.831,14.143,21.762,30.396,23.569,15.03,23.831,24.863,24.301,13.421,25.006,24.466,24.692,24.974,24.875,24.641,24.424,24.036,9.2366,24.353,11.673,13.006,24.745,9.9672,24.965,24.884,25.595,24.478,25.166,24.37,24.953,25.101,24.582,24.791,24.947
21.522,20.236,20.345,18.639,0,25.999,24.228,22.461,22.108,23.468,18.947,24.747,19.682,24.115,15.476,23.457,22.806,24.031,21.109,23.065,21.892,23.264,22.417,24.526,22.148,24.252,22.636,21.213,20.188,21.142,22.36,20.544,19.893,17.341,16.291,22.825,22.255,22.015,24.028,23.927,25.431,18.776,21.317,18.979,24.373,23.784,17.421,22.28,22.75,23.559,25.228,23.677,23.38,24.33,18.892,19.286,21.67,23.041,20.904,18.134,32.298,20.171,18.655,20.465,20.531,20.807,21.818,25.691,20.682,21.569,21.096,20.92,21.051,21.715,20.049,22.272,22.081,23.664,21.021,19.622,21.644,20.59,21.533,21.691,21.125,22.167,20.77,21.538,21.814,20.836,19.372,20.919
8.3059,23.542,9.62,9.578,25.999,0,8.7899,13.37,26.136,13.025,19.164,7.8922,24.617,8.5866,18.579,25.925,8.5727,13.296,25.113,18.032,20.707,11.34,16.246,13.481,17.646,15.603,24.999,24.626,18.94,25.548,11.144,25.102,14.733,21.509,20.411,26.421,10.496,16.235,19.366,16.043,15.351,24.422,25.78,24.32,14.478,14.646,15.756,16.974,13.817,20.865,16.117,13.079,14.818,11.487,25.879,25.235,25.175,20.702,20.08,25.014,29.946,25.356,19.689,26.148,26.814,26.139,15.077,26.203,26.517,26.893,26.967,26.794,26.004,26.047,26.422,13.33,26.093,12.121,17.513,26.803,15.288,26.563,26.028,27.076,26.551,27.234,25.871,26.302,26.343,26.993,25.953,26.522
10.39,21.569,9.7549,8.3394,24.228,8.7899,0,8.3832,22.241,10.936,12.749,7.1758,14.822,7.2532,18.082,21.241,10.19,10.122,21.995,10.805,13.587,9.7671,8.4674,11.03,9.2112,9.2809,18.164,19.293,15.105,18.691,9.6968,20.948,11.809,17.88,19.081,19.621,10.433,11.377,11.519,9.3025,11.596,20.173,20.375,16.023,9.7219,9.3413,12.402,13.925,11.516,13.46,11.816,9.7274,8.3281,10.061,20.41,21.221,22.427,13.496,12.55,15.647,26.513,21.531,12.861,21.622,22.177,22.845,11.829,22.796,22.173,23.581,23.609,22.026,23.986,23.771,22.945,8.0218,23.649,8.7444,11.873,22.267,10.477,23.155,22.993,23.198,22.95,24.367,23.344,23.471,24.34,24.061,23.288,23.746
10.449,21.593,9.1375,9.1255,22.461,13.37,8.3832,0,21.859,13.001,15.921,9.1343,16.592,9.8637,16.69,18.746,8.1713,10.287,20.988,11.425,12.492,10.757,9.8429,10.627,10.222,13.752,19.159,18.317,18.951,17.974,9.1887,19.891,8.5104,16.366,17.078,18.832,8.4085,14.633,15.626,14.677,16.967,18.692,19.083,16.473,13.384,10.836,17.303,16.362,14.358,14.772,16.554,13.31,11.664,17.517,18.363,17.884,21.621,15.807,15.875,16.93,25.564,18.11,17.24,18.696,20.119,19.677,14.39,23.739,19.471,20.792,21.634,22.048,21.074,20.597,18.69,12.367,21.321,12.206,14.2,20.108,11.793,21.31,19.983,21.609,20.104,22.281,22.309,21.31,21.681,21.663,21.042,21.282
25.793,13.906,22.049,24.625,22.108,26.136,22.241,21.859,0,15.602,14.203,19.333,13.425,18.57,16.301,11.269,21.823,18.792,7.2395,15.131,13.252,18.666,16.159,18.098,17.269,15.491,11.142,15.504,16.61,12.143,18.816,16.87,18.841,16.076,17.693,14.137,18.221,15.483,16.85,17.205,16.639,13.159,13.689,15.515,15.943,17.173,15.743,15.405,15.1,14.087,16.226,16.49,17.53,17.427,13.94,13.152,8.1453,14.387,14.338,13.981,18.395,12.785,13.485,14.505,11.733,10.988,13.839,13.849,11.866,13.021,9.3697,11.1,10.392,10.949,12.233,17.732,11.086,18.468,14.379,11.649,16.302,12.306,10.681,12.448,10.784,11.656,11.421,10.299,9.9338,9.9925,11.545,10.668
12.664,12.894,10.997,10.26,23.468,13.025,10.936,13.001,15.602,0,11.146,8.1719,11.774,8.7695,18.787,16.919,10.835,7.4657,18.219,9.3015,10.699,9.8118,9.1073,10.871,11.778,8.9533,16.003,19.145,13.806,13.361,10.638,20.073,12.766,18.007,18.21,14.408,9.4342,9.4226,10.385,9.5414,9.8608,14.526,14.44,12.725,8.0703,8.9255,11.91,14.046,10.474,10.543,9.5769,8.9968,8.5672,9.0139,13.616,14.47,17.734,10.346,11.04,12.038,23.782,13.601,11.326,14.597,15.184,19.742,9.6172,20.301,15.891,16.855,18.65,20.491,21.527,19.097,14.455,9.6543,18.576,9.7809,10.482,18.723,8.7891,21.749,17.692,19.532,15.683,21.613,20.352,18.678,19.607,20.081,18.796,21.376
